rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/explained_variance,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/loss,train/n_updates,train/entropy_loss,train/learning_rate,train/value_loss,train/std,train/approx_kl
1000.0,1294.47459191,224,122,1998848,8921,0.9042290449142456,0.37146417025862066,0.2,-0.003004636650640068,-0.024058325216174126,1748,4.314128838736435,0.0003,0.0019985354178813928,0.16955579817295074,0.03636004
1000.0,1293.21866725,225,123,2015232,8919,0.8637112379074097,0.37245526452282157,0.2,-0.004345526470497436,-0.01581762731075287,1752,4.327592188886587,0.0003,0.0019061049640650138,0.16939137876033783,0.0335094
1000.0,1293.6238744900002,227,124,2031616,8917,0.921593427658081,0.36495535714285715,0.2,-0.0044583834997202094,-0.03906390443444252,1757,4.337817311747194,0.0003,0.0024615201975927334,0.16921716928482056,0.039501756
1000.0,1295.11589157,229,125,2048000,8923,0.9193680286407471,0.3385799632352941,0.2,0.017444572918226615,-0.015851622447371483,1759,4.34522301309249,0.0003,0.0021574040686519924,0.1693272590637207,0.039768618
1000.0,1304.8272711700001,231,126,2064384,8924,0.9278039932250977,0.36152871621621624,0.2,0.0007248329124539285,-0.027897953987121582,1762,4.33130823083826,0.0003,0.001797663840792469,0.16951559484004974,0.03267881
1000.0,1304.31279563,232,127,2080768,8934,0.9368770122528076,0.30532094594594594,0.2,0.008813093290538402,-0.01056889072060585,1763,4.319627787615802,0.0003,0.0018421157728880644,0.16958272457122803,0.02272721
1000.0,1302.1971002100001,234,128,2097152,8936,0.9031882286071777,0.3502367424242424,0.2,0.001791873306148883,-0.015158949419856071,1766,4.318145821311257,0.0003,0.0023286643240487937,0.16945819556713104,0.03056932
1000.0,1310.81337654,236,129,2113536,8933,0.8943262696266174,0.3741051136363636,0.2,-0.0042194878758693285,0.0028529521077871323,1771,4.334060746973211,0.0003,0.0019060577752745965,0.16923610866069794,0.035366774
1000.0,1307.52280679,238,130,2129920,8938,0.9009628891944885,0.3567052607913669,0.2,0.005079908379380383,-0.02641819231212139,1774,4.3556001923924725,0.0003,0.0019731111363876317,0.16896258294582367,0.032552566
1000.0,1309.9322695799997,240,131,2146304,8942,0.8941473960876465,0.332958156779661,0.2,0.00542351909344858,0.028792016208171844,1776,4.35752333220789,0.0003,0.002234305563911606,0.16905570030212402,0.029748525
1000.0,1311.08193664,241,132,2162688,8949,0.9115520715713501,0.3039394946808511,0.2,0.010149616956155984,0.033794600516557693,1777,4.358887641987902,0.0003,0.0017580328003919505,0.16893796622753143,0.022656955
1000.0,1309.6290267000002,243,133,2179072,8951,0.870451807975769,0.38370122354497355,0.2,0.0029753090163308475,-0.009936065413057804,1780,4.371343236751657,0.0003,0.0016335598387134571,0.16863535344600677,0.03322451
1000.0,1312.3778705099999,245,134,2195456,8950,0.9072562456130981,0.376953125,0.2,-0.000639722347400631,-0.023399414494633675,1784,4.382185220718384,0.0003,0.001856160541229665,0.16867971420288086,0.038010318
1000.0,1310.15707615,247,135,2211840,8953,0.8849262595176697,0.3666429924242424,0.2,0.002252177961847999,-0.007039416581392288,1787,4.3868121089357315,0.0003,0.002038750523757754,0.1685435026884079,0.03018706
1000.0,1307.36561304,248,136,2228224,8956,0.876704216003418,0.3696347891566265,0.2,0.002136812099334167,-0.0033921832218766212,1790,4.39831630005894,0.0003,0.0029745577295950377,0.16843394935131073,0.03323109
1000.0,1303.90162663,250,137,2244608,8949,0.8739036321640015,0.35749421296296297,0.2,-0.008232294100359727,-0.041167180985212326,1796,4.4132914425414285,0.0003,0.0024686004523831752,0.16826124489307404,0.0425766
1000.0,1294.69748163,252,138,2260992,8955,0.8982049226760864,0.35232676630434784,0.2,0.009491746835208134,-0.004129637964069843,1798,4.412770566732987,0.0003,0.0029731958727453552,0.16831879317760468,0.03548653
1000.0,1295.04507898,254,139,2277376,8955,0.8786422610282898,0.3770820114213198,0.2,0.0023534357994511195,-0.02834050916135311,1802,4.413828861894946,0.0003,0.0023427348085182723,0.16826051473617554,0.040792957
1000.0,1290.12031658,256,140,2293760,8956,0.9372585415840149,0.37569535340314136,0.2,0.0007211661468508668,0.003945672884583473,1805,4.420483773915556,0.0003,0.002219558657507817,0.16810333728790283,0.03330998
1000.0,1290.5474397799999,257,141,2310144,8958,0.9057794213294983,0.3607874293785311,0.2,0.0006993145492496127,0.008361694402992725,1808,4.429347736013812,0.0003,0.002626660706785818,0.16802771389484406,0.031876426
1000.0,1283.88734262,259,142,2326528,8954,0.8807046413421631,0.3731214217557252,0.2,-0.003830506661835745,-0.02798384241759777,1813,4.430013343578077,0.0003,0.0025402156592574227,0.16808302700519562,0.03877839
1000.0,1288.12781079,261,143,2342912,8960,0.8360306620597839,0.3741238317757009,0.2,0.005909449490500945,0.019253265112638474,1815,4.422365264357808,0.0003,0.0034079450643926023,0.16831421852111816,0.03583978
1000.0,1295.0568674100002,263,144,2359296,8961,0.892145037651062,0.3643942039106145,0.2,0.0024025874477733114,0.016364017501473427,1818,4.427119140518444,0.0003,0.002216278144819194,0.16792626678943634,0.033139955
1000.0,1295.6020536500002,265,145,2375680,8961,0.8751527667045593,0.37270677860696516,0.2,0.0006651270124523794,-0.03665003180503845,1822,4.439760082396702,0.0003,0.0017625650029573867,0.16794729232788086,0.0363577
1000.0,1298.4350073100002,266,146,2392064,8965,0.863816499710083,0.34403125,0.2,0.006841178793460131,0.01593623496592045,1824,4.446692363739014,0.0003,0.002672863400541246,0.16779248416423798,0.029922735
1000.0,1299.0146267,268,147,2408448,8967,0.9018571376800537,0.36052139945652173,0.2,0.001665763481034209,-0.00012051279190927744,1827,4.4433349474616675,0.0003,0.0027130375440364055,0.1681206077337265,0.033912133
1000.0,1304.3078079900001,270,148,2424832,8966,0.9107887148857117,0.37861282276995306,0.2,-0.00042902056276448454,-0.02447614260017872,1831,4.444462386655136,0.0003,0.0022603116241970184,0.1677754521369934,0.03486355
1000.0,1303.95436948,272,149,2441216,8973,0.8914176225662231,0.3250679347826087,0.2,0.013843304518124332,0.04374146834015846,1832,4.453206746474557,0.0003,0.0022106895516829,0.16782128810882568,0.02445383
1000.0,1302.5385980400001,273,150,2457600,8981,0.8730303049087524,0.3145777925531915,0.2,0.015769622744397915,0.05147184059023857,1833,4.447555562283131,0.0003,0.002150256991723275,0.16786722838878632,0.025564032
1000.0,1305.4594287200002,275,151,2473984,8987,0.8810070753097534,0.3236228813559322,0.2,0.015398026230918654,0.07056614011526108,1834,4.444920766151558,0.0003,0.0020256319825174445,0.1678510159254074,0.023929626
