time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/value_loss,train/learning_rate,train/entropy_loss,train/loss,train/std,train/approx_kl,train/clip_range,train/n_updates,train/explained_variance,train/clip_fraction,train/policy_gradient_loss
1736704,1000.0,106,7356,236,1214.7293752300002,0.0007760726947630271,0.0003,2.742800233590657,-0.009301559068262577,0.19221949577331543,0.033400036,0.2,831,0.9796955585479736,0.34680783371040724,-0.005459227645559009
1753088,1000.0,107,7371,237,1212.25032174,0.0006507079032095696,0.0003,2.800097481648725,-0.006133166141808033,0.19143922626972198,0.037292622,0.2,834,0.9660242199897766,0.34454299812030076,0.0027215574706967614
1769472,1000.0,108,7385,239,1208.12221277,0.0011015850153532536,0.0003,2.822256064414978,0.006679253187030554,0.19164085388183594,0.031609513,0.2,837,0.9699356555938721,0.33745404411764707,-0.0009090748341644511
1785856,1000.0,109,7382,241,1205.4766576499999,0.0007304250050409515,0.0003,2.8405572301235753,-0.004745719488710165,0.19079308211803436,0.03439054,0.2,846,0.9650195240974426,0.36909108922101447,-0.012001455375128358
1802240,1000.0,110,7396,243,1207.3854055299998,0.0010126846369361332,0.0003,2.8822421015695086,0.012327075004577637,0.19030416011810303,0.029724004,0.2,849,0.9703737497329712,0.3390715843023256,0.0025616028118705335
1818624,1000.0,111,7407,245,1205.4811468399998,0.0007813549067179549,0.0003,2.916225691210047,-0.03192680701613426,0.18976004421710968,0.0342562,0.2,853,0.9716867208480835,0.3563237660944206,-0.007820427912395336
1835008,1000.0,112,7426,247,1204.02562933,0.0019123603914132608,0.0003,2.9344082389559065,0.02587924897670746,0.18966834247112274,0.023772204,0.2,854,0.9588797688484192,0.30245535714285715,0.01086074483048703
1851392,1000.0,113,7440,248,1200.61212337,0.0010219100378865541,0.0003,2.9386877802764477,0.007291823625564575,0.18953128159046173,0.03147817,0.2,857,0.9736239910125732,0.3668951955782313,0.006634993361448552
1867776,1000.0,114,7453,250,1197.04820361,0.0017189053231823504,0.0003,2.951905905515298,-0.0048667509108781815,0.18945415318012238,0.03362979,0.2,860,0.9680392146110535,0.35149515086206895,-0.00021543909913335723
1884160,1000.0,115,7466,252,1202.15874366,0.001301475128975308,0.0003,2.9580753754965867,-0.013080377131700516,0.18917500972747803,0.029961197,0.2,863,0.9619365334510803,0.3626137262658228,0.0027732419533820093
1900544,1000.0,116,7480,254,1197.0387168000002,0.0008130415079766791,0.0003,2.9752757154780327,-0.01463182084262371,0.18879304826259613,0.031176241,0.2,866,0.9684419631958008,0.3448741007194245,0.002766030080107262
1916928,1000.0,117,7490,255,1196.4247421799998,0.0009376136021258436,0.0003,3.005016221838482,0.011972615495324135,0.18836812674999237,0.031031115,0.2,870,0.9681746363639832,0.3533997616525424,-0.0006780730041485848
1933312,1000.0,118,7503,257,1200.54797896,0.0016398899147275442,0.0003,3.0204566413571374,-0.0011357023613527417,0.18829160928726196,0.03224602,0.2,873,0.9484509825706482,0.347753299689441,0.004245681769174078
1949696,1000.0,119,7509,259,1202.14241137,0.0008152492454657204,0.0003,3.0568240702557725,-0.02363080158829689,0.18724071979522705,0.03398787,0.2,878,0.9718999862670898,0.35577434098639454,-0.007255435651991846
1966080,1000.0,120,7523,261,1204.56277286,0.0007552814497472369,0.0003,3.095288092032411,-0.01860235631465912,0.18692724406719208,0.037997868,0.2,881,0.9689300060272217,0.3382871240601504,0.002429609967717775
1982464,1000.0,121,7539,262,1202.82077399,0.001978325932527539,0.0003,3.1122347116470337,0.012032680213451385,0.18673820793628693,0.024180057,0.2,882,0.9514262676239014,0.32361260775862066,0.013573884691015399
1998848,1000.0,122,7555,264,1200.23505307,0.0025690748073559787,0.0003,3.115539162499564,-0.009148412384092808,0.18683801591396332,0.040578786,0.2,884,0.9430630207061768,0.35323660714285715,0.011315564279045377
2015232,1000.0,123,7562,266,1201.58396039,0.0018558449235251285,0.0003,3.124429574525689,0.007119981572031975,0.1866060495376587,0.031557355,0.2,888,0.9601880311965942,0.37135831673306774,-0.001775331179281155
2031616,1000.0,124,7574,268,1197.11863677,0.0011893994944740928,0.0003,3.136790381708453,0.0007946477271616459,0.18647778034210205,0.035278697,0.2,891,0.968147337436676,0.3649193548387097,0.002182794145999416
2048000,1000.0,125,7586,269,1192.86636641,0.0011720028646499375,0.0003,3.1491704927820736,-0.026138314977288246,0.18623320758342743,0.03358498,0.2,894,0.9725378155708313,0.3484800170068027,0.002816099735280993
2064384,1000.0,126,7603,271,1198.67952015,0.004233888425265572,0.0003,3.156790520463671,0.0466783381998539,0.18614651262760162,0.02517475,0.2,895,0.9146205186843872,0.31138392857142855,0.01193754157117967
2080768,1000.0,127,7615,273,1200.55080079,0.0012530549174060294,0.0003,3.1631316197545907,-0.0064926715567708015,0.18598635494709015,0.028537564,0.2,897,0.9740910530090332,0.3203810307017544,0.006414312260682907
