time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/n_updates,train/clip_range,train/entropy_loss,train/clip_fraction,train/value_loss,train/learning_rate,train/approx_kl,train/loss,train/std,train/explained_variance
179,8948,1040.63649926,940.55,98,1605632,0.013234334422604126,1652,0.2,3.6779318486942962,0.30652573529411764,0.05027223835863611,0.0003,0.042700905,0.013029785826802254,0.1787385195493698,0.7969378232955933
181,8937,1068.03333153,955.69,99,1622016,-0.008752135750615881,1657,0.2,3.6753284355950733,0.37442956349206347,0.02598517160448763,0.0003,0.036695734,0.01152877602726221,0.17890633642673492,0.8445295691490173
183,8947,1081.6156424399999,960.37,100,1638400,0.014130798771549932,1658,0.2,3.672892621306122,0.3301741803278688,0.030513018613956014,0.0003,0.025249042,0.04710576683282852,0.178814098238945,0.8281964659690857
184,8946,1088.29328109,965.19,101,1654784,-0.0008730561171830135,1662,0.2,3.6702393490133933,0.36917854975728154,0.025610855296796676,0.0003,0.0333309,-0.007831558585166931,0.17898614704608917,0.784803569316864
186,8957,1090.51987571,966.89,102,1671168,0.013401193057440898,1663,0.2,3.663229069926522,0.31019176136363635,0.034428403712809086,0.0003,0.024230571,0.05835350230336189,0.1790454387664795,0.7386782169342041
188,8959,1105.17308083,979.58,103,1687552,-0.0021184875460510903,1666,0.2,3.660476311005373,0.3701746323529412,0.024313223349020124,0.0003,0.031337555,0.013023020699620247,0.17907710373401642,0.7861273288726807
190,8959,1109.12703339,984.85,104,1703936,-0.0024047145133398555,1669,0.2,3.6434194077266735,0.35685129915730335,0.03548078477550089,0.0003,0.032261122,-0.0004720371216535568,0.17945854365825653,0.7637208104133606
192,8951,1104.97728394,986.63,105,1720320,-0.0063416567595889995,1674,0.2,3.6330173247152096,0.3847094199640288,0.02765550757858822,0.0003,0.036790922,-0.0042813485488295555,0.17957401275634766,0.7786577939987183
194,8935,1107.19304592,985.09,106,1736704,-0.012505407185783792,1681,0.2,3.601625642906832,0.37499110193621865,0.023195209089827837,0.0003,0.0346423,-0.005487775430083275,0.1799347847700119,0.7265931367874146
196,8938,1096.19492318,975.57,107,1753088,0.004923575967550278,1683,0.2,3.6134001007080077,0.34609375,0.02295200604200363,0.0003,0.032114714,0.013790913857519627,0.17955662310123444,0.8241809606552124
197,8947,1063.9943304600001,943.58,108,1769472,0.00713754776150508,1685,0.2,3.62138784486194,0.3409792877906977,0.03336504465618799,0.0003,0.03626205,0.006547606084495783,0.17968301475048065,0.8376290798187256
199,8953,1046.83685067,933.83,109,1785856,0.007992252617766824,1687,0.2,3.6184696801211857,0.35776232798165136,0.044420762312248216,0.0003,0.03113349,0.03467296063899994,0.17966938018798828,0.8276593089103699
201,8951,1032.0153823399999,912.5,110,1802240,-0.004780654511126006,1691,0.2,3.6132469040102664,0.3583033738938053,0.046423566478213905,0.0003,0.034110703,-0.0031769070774316788,0.17980539798736572,0.7405948638916016
